city,airport,iata,state,country,latitude,longitude,aliases
Delhi,Indira Gandhi International Airport,DEL,Delhi,India,28.5562,77.1000,"New Delhi|IGI|Delhi Airport"
Mumbai,Chhatrapati Shivaji Maharaj International Airport,BOM,Maharashtra,India,19.0896,72.8656,"Bombay|CSMIA|Mumbai Airport"
Bangalore,Kempegowda International Airport,BLR,Karnataka,India,13.1986,77.7066,"Bengaluru|Bangaluru|KIA|Bangalore Airport"
Hyderabad,Rajiv Gandhi International Airport,HYD,Telangana,India,17.2403,78.4294,"RGIA|Hyderabad Airport|Shamshabad"
Chennai,Chennai International Airport,MAA,Tamil Nadu,India,12.9941,80.1709,"Madras|Chennai Airport|MAA Airport"
Kolkata,Netaji Subhas Chandra Bose International Airport,CCU,West Bengal,India,22.6547,88.4467,"Calcutta|Kolkata Airport|Dum Dum"
Goa,Goa International Airport (Dabolim),GOI,Goa,India,15.3808,73.8314,"Dabolim|Vasco|Goa Dabolim"
Mopa,Manohar International Airport,GOX,Goa,India,15.7320,73.8600,"Goa Mopa|North Goa|Mopa Airport"
Leh,Kushok Bakula Rimpochee Airport,IXL,Ladakh,India,34.1359,77.5465,"Leh Airport|Ladakh"
Chandigarh,Chandigarh Airport,IXC,Chandigarh,India,30.6735,76.7885,"Mohali|Chandigarh International"
Jaipur,Jaipur International Airport,JAI,Rajasthan,India,26.8242,75.8122,"Jaipur Airport|Sanganer"
Srinagar,Sheikh ul-Alam International Airport,SXR,Jammu and Kashmir,India,33.9871,74.7743,"Srinagar Airport|Kashmir"
Pune,Pune Airport,PNQ,Maharashtra,India,18.5822,73.9197,"Lohegaon|Pune International"
Lucknow,Chaudhary Charan Singh International Airport,LKO,Uttar Pradesh,India,26.7606,80.8893,"Amausi|Lucknow Airport"
Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,Gujarat,India,23.0772,72.6347,"Ahmedabad Airport"
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,Assam,India,26.1061,91.5859,"Gauhati|Borjhar|Guwahati Airport"
Kochi,Cochin International Airport,COK,Kerala,India,10.1520,76.4019,"Cochin|Nedumbassery|Kochi Airport|Ernakulam"
Thiruvananthapuram,Trivandrum International Airport,TRV,Kerala,India,8.4821,76.9200,"Trivandrum|TVM|Thiruvananthapuram Airport"
Kozhikode,Calicut International Airport,CCJ,Kerala,India,11.1368,75.9553,"Calicut|Karipur|Kozhikode Airport"
Kannur,Kannur International Airport,CNN,Kerala,India,11.9186,75.5472,"Kannur Airport|Mattannur"
Coimbatore,Coimbatore International Airport,CJB,Tamil Nadu,India,11.0300,77.0434,"Peelamedu|Coimbatore Airport"
Madurai,Madurai Airport,IXM,Tamil Nadu,India,9.8345,78.0934,"Madurai Airport"
Tiruchirappalli,Tiruchirappalli International Airport,TRZ,Tamil Nadu,India,10.7654,78.7097,"Trichy|Tiruchi"
Mangalore,Mangalore International Airport,IXE,Karnataka,India,12.9613,74.8901,"Mangaluru|Bajpe"
Hubli,Hubli Airport,HBX,Karnataka,India,15.3617,75.0849,"Hubballi"
Mysore,Mysore Airport,MYQ,Karnataka,India,12.2300,76.6558,"Mysuru"
Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG,Maharashtra,India,21.0922,79.0472,"Nagpur Airport|Sonegaon"
Nashik,Nashik Airport,ISK,Maharashtra,India,19.9625,73.8073,"Ozar"
Aurangabad,Aurangabad Airport,IXU,Maharashtra,India,19.8627,75.3981,"Chhatrapati Sambhajinagar|Aurangabad Airport"
Kolhapur,Kolhapur Airport,KLH,Maharashtra,India,16.6646,74.2894,"Kolhapur"
Indore,Devi Ahilya Bai Holkar Airport,IDR,Madhya Pradesh,India,22.7218,75.8011,"Indore Airport"
Bhopal,Raja Bhoj Airport,BHO,Madhya Pradesh,India,23.2875,77.3374,"Bhopal Airport"
Jabalpur,Jabalpur Airport,JLR,Madhya Pradesh,India,23.1778,80.0520,"Dumna"
Raipur,Swami Vivekananda Airport,RPR,Chhattisgarh,India,21.1804,81.7388,"Raipur Airport"
Surat,Surat Airport,STV,Gujarat,India,21.1141,72.7418,"Surat Airport"
Vadodara,Vadodara Airport,BDQ,Gujarat,India,22.3362,73.2263,"Baroda"
Rajkot,Rajkot International Airport,HSR,Gujarat,India,22.3792,71.0390,"Rajkot Hirasar"
Bhuj,Bhuj Airport,BHJ,Gujarat,India,23.2878,69.6702,"Bhuj Rudra Mata"
Udaipur,Maharana Pratap Airport,UDR,Rajasthan,India,24.6177,73.8961,"Udaipur Airport|Dabok"
Jodhpur,Jodhpur Airport,JDH,Rajasthan,India,26.2511,73.0489,"Jodhpur Airport"
Bikaner,Bikaner Airport,BKB,Rajasthan,India,28.0706,73.2072,"Nal"
Jaisalmer,Jaisalmer Airport,JSA,Rajasthan,India,26.8887,70.8649,"Jaisalmer"
Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ,Punjab,India,31.7096,74.7973,"Raja Sansi|Amritsar Airport"
Ludhiana,Sahnewal Airport,LUH,Punjab,India,30.8547,75.9526,"Ludhiana Airport"
Jammu,Jammu Airport,IXJ,Jammu and Kashmir,India,32.6891,74.8374,"Satwari"
Dehradun,Jolly Grant Airport,DED,Uttarakhand,India,30.1897,78.1803,"Dehra Dun|Doon"
Pantnagar,Pantnagar Airport,PGH,Uttarakhand,India,29.0882,79.5436,"Pantnagar"
Varanasi,Lal Bahadur Shastri Airport,VNS,Uttar Pradesh,India,25.4524,82.8593,"Babatpur|Varanasi Airport|Kashi"
Prayagraj,Prayagraj Airport,IXD,Uttar Pradesh,India,25.4400,81.7339,"Allahabad|Bamrauli"
Kanpur,Kanpur Airport,KNU,Uttar Pradesh,India,26.4414,80.3649,"Chakeri"
Agra,Agra Airport,AGR,Uttar Pradesh,India,27.1558,77.9608,"Kheria"
Gorakhpur,Gorakhpur Airport,GOP,Uttar Pradesh,India,26.7397,83.4497,"Gorakhpur"
Patna,Jay Prakash Narayan Airport,PAT,Bihar,India,25.5913,85.0880,"Patna Airport"
Gaya,Gaya Airport,GAY,Bihar,India,24.7443,84.9512,"Bodhgaya"
Ranchi,Birsa Munda Airport,IXR,Jharkhand,India,23.3143,85.3217,"Ranchi Airport"
Jamshedpur,Sonari Airport,IXW,Jharkhand,India,22.8132,86.1688,"Jamshedpur"
Bhubaneswar,Biju Patnaik International Airport,BBI,Odisha,India,20.2444,85.8178,"Bhubaneswar Airport"
Visakhapatnam,Visakhapatnam Airport,VTZ,Andhra Pradesh,India,17.7212,83.2245,"Vizag|Visakhapatnam Airport"
Vijayawada,Vijayawada Airport,VGA,Andhra Pradesh,India,16.5304,80.7968,"Gannavaram"
Tirupati,Tirupati Airport,TIR,Andhra Pradesh,India,13.6325,79.5433,"Tirupati"
Rajahmundry,Rajahmundry Airport,RJA,Andhra Pradesh,India,17.1104,81.8182,"Rajahmundry"
Bagdogra,Bagdogra Airport,IXB,West Bengal,India,26.6812,88.3286,"Siliguri|Bagdogra"
Durgapur,Kazi Nazrul Islam Airport,RDP,West Bengal,India,23.6225,87.2430,"Andal|Durgapur"
Agartala,Maharaja Bir Bikram Airport,IXA,Tripura,India,23.8860,91.2404,"Agartala Airport"
Imphal,Bir Tikendrajit International Airport,IMF,Manipur,India,24.7600,93.8967,"Imphal Airport|Tulihal"
Dibrugarh,Dibrugarh Airport,DIB,Assam,India,27.4839,95.0169,"Mohanbari"
Silchar,Silchar Airport,IXS,Assam,India,24.9129,92.9787,"Kumbhirgram"
Jorhat,Jorhat Airport,JRH,Assam,India,26.7315,94.1755,"Rowriah"
Dimapur,Dimapur Airport,DMU,Nagaland,India,25.8839,93.7714,"Dimapur"
Shillong,Shillong Airport,SHL,Meghalaya,India,25.7036,91.9787,"Umroi|Barapani"
Aizawl,Lengpui Airport,AJL,Mizoram,India,23.8406,92.6197,"Aizawl Airport"
Dharamshala,Kangra Airport,DHM,Himachal Pradesh,India,32.1651,76.2634,"Gaggal|Kangra|Dharamshala Airport"
Shimla,Shimla Airport,SLV,Himachal Pradesh,India,31.0818,77.0680,"Jubbarhatti"
Kullu,Kullu–Manali Airport,KUU,Himachal Pradesh,India,31.8767,77.1544,"Bhuntar|Kullu"
Port Blair,Veer Savarkar International Airport,IXZ,Andaman and Nicobar Islands,India,11.6412,92.7297,"Port Blair Airport|Andaman"
Puducherry,Puducherry Airport,PNY,Puducherry,India,11.9680,79.8101,"Pondicherry"
Belagavi,Belagavi Airport,IXG,Karnataka,India,15.8593,74.6183,"Belgaum|Sambra"
Tuticorin,Tuticorin Airport,TCR,Tamil Nadu,India,8.7242,78.0258,"Thoothukudi"
Salem,Salem Airport,SXV,Tamil Nadu,India,11.7833,78.0656,"Salem"
Gwalior,Gwalior Airport,GWL,Madhya Pradesh,India,26.2933,78.2278,"Rajmata Vijaya Raje Scindia"
Khajuraho,Khajuraho Airport,HJR,Madhya Pradesh,India,24.8172,79.9186,"Khajuraho"
Jamnagar,Jamnagar Airport,JGA,Gujarat,India,22.4655,70.0126,"Jamnagar"
Bhavnagar,Bhavnagar Airport,BHU,Gujarat,India,21.7522,72.1852,"Bhavnagar"
Kandla,Kandla Airport,IXY,Gujarat,India,23.1127,70.1003,"Gandhidham"
Diw,Diu Airport,DIU,Daman and Diu,India,20.7131,70.9211,"Diu"
Shirdi,Shirdi Airport,SAG,Maharashtra,India,19.6886,74.3789,"Shirdi"
Sindhudurg,Sindhudurg Airport,SDW,Maharashtra,India,16.0000,73.5333,"Chipi"
